ID,Predict
0,0
1,2
2,2
3,2
4,2
5,2
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,2
20,2
21,1
22,2
23,0
24,1
25,2
26,0
27,1
28,1
29,1
30,1
31,1
32,0
33,2
34,0
35,0
36,1
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,2
54,1
55,2
56,1
57,2
58,0
59,1
60,2
61,2
62,1
63,2
64,0
65,2
66,2
67,2
68,1
69,2
70,2
71,2
72,1
73,1
74,0
75,2
76,2
77,1
78,0
79,1
80,0
81,2
82,1
83,1
84,0
85,2
86,2
87,2
88,2
89,1
90,2
91,2
92,0
93,2
94,1
95,1
96,1
97,1
98,1
99,2
100,2
101,2
102,2
103,2
104,1
105,2
106,2
107,1
108,2
109,1
110,1
111,1
112,1
113,2
114,1
115,2
116,0
117,0
118,2
119,0
120,0
121,1
122,2
123,1
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,1
133,1
134,1
135,2
136,1
137,1
138,1
139,2
140,1
141,2
142,2
143,1
144,2
145,1
146,0
147,2
148,1
149,1
150,2
151,2
152,0
153,2
154,1
155,1
156,0
157,1
158,1
159,1
160,2
161,2
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,2
173,1
174,1
175,1
176,0
177,1
178,2
179,2
180,1
181,2
182,2
183,1
184,1
185,2
186,0
187,1
188,0
189,1
190,0
191,2
192,1
193,0
194,2
195,2
196,0
197,0
198,1
199,1
200,0
201,2
202,1
203,2
204,1
205,2
206,2
207,2
208,2
209,2
210,1
211,0
212,0
213,1
214,0
215,2
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,2
224,2
225,1
226,2
227,1
228,2
229,2
230,1
231,1
232,1
233,0
234,2
235,2
236,1
237,1
238,1
239,1
240,2
241,0
242,0
243,1
244,1
245,1
246,2
247,0
248,2
249,1
250,0
251,2
252,0
253,1
254,2
255,1
256,2
257,2
258,1
259,1
260,1
261,1
262,2
263,2
264,2
265,2
266,0
267,1
268,0
269,2
270,2
271,2
272,2
273,1
274,2
275,2
276,1
277,1
278,2
279,2
280,0
281,1
282,0
283,2
284,1
285,2
286,2
287,2
288,0
289,1
290,1
291,0
292,2
293,2
294,1
295,0
296,2
297,2
298,1
299,2
300,0
301,2
302,1
303,1
304,2
305,1
306,1
307,1
308,2
309,2
310,0
311,0
312,0
313,2
314,2
315,1
316,0
317,1
318,0
319,1
320,1
321,2
322,2
323,0
324,1
325,1
326,1
327,1
328,2
329,1
330,0
331,2
332,1
333,1
334,0
335,2
336,2
337,1
338,1
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,1
347,0
348,0
349,2
350,1
351,0
352,1
353,1
354,1
355,1
356,2
357,1
358,1
359,1
360,0
361,2
362,2
363,2
364,0
365,1
366,2
367,1
368,2
369,0
370,0
371,1
372,2
373,1
374,0
375,1
376,1
377,2
378,0
379,2
380,1
381,2
382,0
383,1
384,0
385,1
386,0
387,0
388,2
389,2
390,1
391,1
392,1
393,2
394,2
395,1
396,2
397,2
398,1
399,0
400,0
401,2
402,2
403,0
404,2
405,2
406,1
407,0
408,1
409,1
410,1
411,2
412,2
413,1
414,2
415,1
416,2
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,1
425,1
426,1
427,0
428,1
429,2
430,1
431,2
432,0
433,1
434,2
435,1
436,0
437,1
438,1
439,2
440,2
441,1
442,1
443,1
444,0
445,0
446,1
447,1
448,0
449,1
450,2
451,2
452,2
453,2
454,1
455,0
456,1
457,0
458,2
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,2
468,1
469,1
470,0
471,1
472,1
473,2
474,2
475,0
476,1
477,2
478,1
479,2
480,1
481,2
482,1
483,2
484,1
485,1
486,1
487,2
488,0
489,0
490,1
491,0
492,1
493,2
494,1
495,0
496,1
497,2
498,2
499,1
500,2
501,0
502,2
503,2
504,1
505,0
506,2
507,2
508,0
509,2
510,0
511,2
512,1
513,1
514,1
515,1
516,2
517,1
518,1
519,1
520,0
521,1
522,1
523,0
524,2
525,0
526,1
527,1
528,2
529,0
530,0
531,1
532,2
533,0
534,2
535,2
536,2
537,1
538,2
539,1
540,0
541,1
542,1
543,2
544,2
545,1
546,1
547,1
548,1
549,1
550,2
551,1
552,1
553,1
554,1
555,1
556,0
557,0
558,0
559,2
560,2
561,2
562,0
563,2
564,1
565,2
566,2
567,2
568,1
569,2
570,2
571,1
572,1
573,1
574,2
575,2
576,1
577,2
578,0
579,1
580,2
581,1
582,1
583,0
584,1
585,2
586,1
587,2
588,0
589,1
590,0
591,1
592,2
593,2
594,1
595,2
596,1
597,1
598,1
599,0
600,1
601,1
602,2
603,1
604,1
605,1
606,1
607,2
608,2
609,2
610,1
611,2
612,0
613,1
614,1
615,0
616,0
617,0
618,2
619,1
620,2
621,2
622,0
623,2
624,1
625,1
626,1
627,2
628,1
629,2
630,0
631,1
632,1
633,1
634,2
635,0
636,1
637,0
638,1
639,2
640,1
641,1
642,1
643,2
644,2
645,1
646,2
647,2
648,1
649,2
650,2
651,0
652,2
653,1
654,0
655,1
656,0
657,2
658,2
659,2
660,0
661,1
662,2
663,0
664,2
665,1
666,2
667,1
668,0
669,1
670,0
671,1
672,1
673,2
674,2
675,0
676,0
677,2
678,1
679,1
680,1
681,2
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,2
690,1
691,2
692,1
693,1
694,2
695,2
696,0
697,2
698,2
699,1
700,0
701,1
702,0
703,2
704,0
705,1
706,0
707,1
708,1
709,2
710,2
711,1
712,2
713,1
714,2
715,2
716,0
717,2
718,1
719,1
720,2
721,2
722,0
723,0
724,0
725,2
726,2
727,2
728,2
729,2
730,1
731,1
732,2
733,2
734,1
735,0
736,1
737,0
738,0
739,1
740,1
741,0
742,2
743,2
744,2
745,1
746,0
747,2
748,1
749,0
750,1
751,2
752,1
753,1
754,2
755,0
756,2
757,1
758,1
759,0
760,2
761,1
762,2
763,1
764,1
765,1
766,1
767,2
768,1
769,0
770,1
771,2
772,0
773,2
774,1
775,2
776,0
777,2
778,1
779,2
780,1
781,1
782,2
783,0
784,1
785,1
786,2
787,2
788,0
789,1
790,0
791,2
792,0
793,0
794,1
795,1
796,2
797,1
798,0
799,2
800,1
801,1
802,2
803,0
804,1
805,1
806,1
807,2
808,2
809,2
810,1
811,2
812,2
813,2
814,2
815,0
816,2
817,0
818,1
819,2
820,1
821,2
822,1
823,2
824,2
825,1
826,0
827,0
828,1
829,1
830,1
831,2
832,1
833,2
834,0
835,2
836,1
837,0
838,2
839,2
840,0
841,1
842,2
843,2
844,1
845,2
846,0
847,2
848,1
849,0
850,2
851,2
852,1
853,2
854,2
855,2
856,1
857,2
858,1
859,2
860,0
861,1
862,1
863,1
864,1
865,1
866,0
867,0
868,0
869,1
870,1
871,1
872,1
873,0
874,2
875,2
876,0
877,2
878,1
879,1
880,0
881,1
882,1
883,2
884,2
885,2
886,1
887,0
888,1
889,1
890,1
891,0
892,1
893,2
894,2
895,2
896,2
897,2
898,1
899,1
900,1
901,0
902,1
903,2
904,2
905,0
906,1
907,2
908,2
909,2
910,2
911,2
912,2
913,1
914,1
915,2
916,2
917,2
918,1
919,1
920,2
921,2
922,2
923,0
924,1
925,2
926,1
927,2
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,2
938,1
939,1
940,1
941,1
942,2
943,1
944,1
945,0
946,1
947,1
948,2
949,2
950,2
951,2
952,1
953,0
954,1
955,1
956,1
957,0
958,0
959,2
960,2
961,1
962,2
963,1
964,2
965,2
966,1
967,2
968,2
969,2
970,2
971,1
972,2
973,2
974,1
975,1
976,1
977,0
978,1
979,2
980,2
981,2
982,0
983,2
984,2
985,0
986,1
987,2
988,2
989,2
990,1
991,1
992,1
993,0
994,1
995,2
996,2
997,1
998,2
999,2
1000,2
1001,2
1002,1
1003,1
1004,1
1005,2
1006,0
1007,2
1008,0
1009,2
1010,1
1011,1
1012,1
1013,2
1014,1
1015,1
1016,1
1017,2
1018,2
1019,1
1020,1
1021,2
1022,1
1023,0
1024,1
1025,0
1026,1
1027,2
1028,1
1029,0
1030,2
1031,1
1032,2
1033,1
1034,1
1035,1
1036,1
1037,1
1038,2
1039,1
1040,1
1041,2
1042,1
1043,1
1044,1
1045,2
1046,2
1047,1
1048,1
1049,2
1050,2
1051,0
1052,1
1053,2
1054,0
1055,2
1056,0
1057,2
1058,2
1059,1
1060,1
1061,2
1062,2
1063,2
1064,1
1065,0
1066,1
1067,0
1068,2
1069,2
1070,0
1071,1
1072,2
1073,1
1074,1
1075,2
1076,0
1077,2
1078,2
1079,2
1080,2
1081,2
1082,0
1083,2
1084,1
1085,0
1086,1
1087,2
1088,0
1089,1
1090,1
1091,0
1092,1
1093,2
1094,0
1095,1
1096,2
1097,0
1098,2
1099,2
1100,1
1101,2
1102,2
1103,1
1104,1
1105,1
1106,1
1107,2
1108,2
1109,2
1110,2
1111,2
1112,1
1113,1
1114,2
1115,2
1116,2
1117,2
1118,0
1119,2
1120,2
1121,0
1122,2
1123,2
1124,0
1125,0
1126,2
1127,0
1128,0
1129,2
1130,2
1131,1
1132,1
1133,0
1134,0
1135,0
1136,2
1137,2
1138,0
1139,2
1140,2
1141,2
1142,2
1143,1
1144,2
1145,1
1146,2
1147,2
1148,0
1149,2
1150,1
1151,0
1152,2
1153,1
1154,0
1155,1
1156,1
1157,0
1158,2
1159,1
1160,0
1161,2
1162,1
1163,1
1164,2
1165,2
1166,0
1167,0
1168,1
1169,1
1170,2
1171,1
1172,2
1173,0
1174,1
1175,1
1176,2
1177,1
1178,2
1179,1
1180,2
1181,2
1182,2
1183,2
1184,1
1185,2
1186,1
1187,2
1188,2
1189,0
1190,2
1191,2
1192,0
1193,2
1194,0
1195,1
1196,2
1197,1
1198,1
1199,2
